tc_id	location	strand	cer	emb	liv	lun	mac	som	vis
C11F67B2FB7	chr11:108736439-108736551	F	11.8468	3.16357	0.820538	3.85136	11.7703	4.78599	4.29756
C1R99DD3AF	chr1:161338287-161338287	R	11.8468	3.16357	4.10269	8.47299	17.6555	4.78599	4.29756
C11F60033CC	chr11:100676556-100676620	F	11.8468	1.58179	0.820538	5.3919	17.6555	4.78599	4.29756
C7F726854B	chr7:119965003-119965061	F	11.8468	3.16357	27.0777	5.3919	17.6555	4.78599	4.29756
C2R7CCE60D	chr2:130868749-130868751	R	19.7446	1.58179	27.0777	4.62163	17.6555	4.78599	4.29756
C1R3D719BD	chr1:64428477-64428478	R	11.8468	1.58179	27.0777	4.62163	17.6555	4.78599	12.8927
C10F6D7F17F	chr10:114815359-114815366	F	11.8468	1.58179	0.820538	4.62163	29.4258	4.78599	12.8927
C18F3A67362	chr18:61240162-61240179	F	11.8468	1.58179	0.820538	4.62163	29.4258	4.78599	12.8927
CXR4DC42C7	chrX:81543879-81543879	R	11.8468	1.58179	0.820538	4.62163	29.4258	4.78599	12.8927
C19RB2192D	chr19:11671853-11671876	R	11.8468	1.58179	0.820538	4.62163	29.4258	4.78599	12.8927
C18F3A66860	chr18:61237344-61237383	F	11.8468	1.58179	0.820538	4.62163	29.4258	4.78599	12.8927
C2F716B6AD	chr2:118929069-118929177	F	11.8468	7.90893	0.820538	22.3379	29.4258	4.78599	12.8927
C10R3B8504A	chr10:62410826-62410853	R	23.6935	7.90893	0.820538	1.54054	29.4258	4.78599	4.29756
C16F6CF12F	chr16:7139631-7139673	F	23.6935	7.90893	0.820538	1.54054	29.4258	4.78599	4.29756
C13R5FDF62A	chr13:100529706-100529735	R	23.6935	7.90893	0.820538	1.54054	29.4258	4.78599	4.29756
CXF2A8BCA8	chrX:44612776-44612789	F	23.6935	7.90893	0.820538	1.54054	29.4258	4.78599	4.29756
C1R66FF600	chr1:108000768-108000806	R	23.6935	7.90893	0.820538	1.54054	29.4258	4.78599	4.29756
C17F435A74A	chr17:70625098-70625120	F	23.6935	7.90893	0.820538	1.54054	29.4258	4.78599	4.29756
C14F183EDCC	chr14:25423308-25423329	F	23.6935	7.90893	0.820538	1.54054	29.4258	4.78599	4.29756
C9R66F6AC7	chr9:107965127-107965157	R	23.6935	7.90893	0.820538	1.54054	29.4258	4.78599	4.29756
C7R86281B1	chr7:140673457-140673508	R	7.89783	7.90893	0.820538	1.54054	29.4258	14.358	4.29756
C3F3C72A16	chr3:63384086-63384148	F	7.89783	4.74536	2.46161	22.3379	29.4258	14.358	4.29756
C9R3028C98	chr9:50498712-50498810	R	3.94892	3.16357	10.667	7.70272	29.4258	4.78599	4.29756
C18F363345D	chr18:56833117-56833168	F	15.7957	3.16357	0.820538	3.85136	29.4258	4.78599	4.29756
C1F60E55F2	chr1:101602802-101602805	F	3.94892	3.16357	0.820538	3.85136	29.4258	4.78599	12.8927
C19F842882	chr19:8661122-8661198	F	3.94892	3.16357	0.820538	3.85136	29.4258	19.144	4.29756
C3R6197CD2	chr3:102333650-102333714	R	15.7957	4.74536	0.820538	3.85136	5.88516	19.144	4.29756
C8F6C88D6B	chr8:113806699-113806739	F	23.6935	1.58179	0.820538	3.85136	5.88516	19.144	4.29756
C12R2D7C5AE	chr12:47695278-47695299	R	23.6935	1.58179	0.820538	2.31082	5.88516	19.144	4.29756
C8F686B972	chr8:109492594-109492627	F	3.94892	6.32714	0.820538	20.0271	5.88516	19.144	4.29756
C3F1F60821	chr3:32901153-32901154	F	3.94892	6.32714	0.820538	3.08109	17.6555	9.57199	4.29756
C1F7E887AF	chr1:132679599-132679604	F	3.94892	6.32714	29.5394	0.770272	17.6555	9.57199	4.29756
C19R2BF522D	chr19:46092845-46092905	R	3.94892	3.16357	29.5394	4.62163	11.7703	9.57199	8.59513
C1RA5CF3F9	chr1:173863929-173863973	R	7.89783	7.90893	29.5394	2.31082	11.7703	9.57199	8.59513
C7R2B3AD65	chr7:45329765-45329792	R	11.8468	7.90893	1.64108	6.16217	5.88516	4.78599	8.59513
C11R6166DF9	chr11:102133241-102133279	R	3.94892	7.90893	1.64108	0.770272	5.88516	19.144	4.29756
C17R1E8D1F7	chr17:32035319-32035339	R	11.8468	7.90893	2.46161	6.93245	5.88516	4.78599	4.29756
C7R7F57CE3	chr7:133528803-133528803	R	3.94892	4.74536	1.64108	2.31082	5.88516	4.78599	12.8927
C4F296F725	chr4:43448101-43448113	F	7.89783	1.58179	4.10269	3.85136	5.88516	4.78599	12.8927
C15F45DB70A	chr15:73250570-73250615	F	7.89783	1.58179	0.820538	1.54054	5.88516	14.358	12.8927
C4R615CE0	chr4:6380768-6380830	R	7.89783	1.58179	1.64108	18.4865	5.88516	14.358	12.8927
C11F4290579	chr11:69797241-69797271	F	15.7957	3.16357	1.64108	3.85136	5.88516	14.358	12.8927
C7F610E3E4	chr7:101770212-101770241	F	7.89783	3.16357	0.820538	0.770272	11.7703	4.78599	4.29756
C18R161BDDF	chr18:23182815-23182876	R	3.94892	3.16357	0.820538	0.770272	11.7703	4.78599	4.29756
C12R6BB7FB3	chr12:112951219-112951219	R	11.8468	3.16357	0.820538	0.770272	11.7703	4.78599	12.8927
C8R5F7146A	chr8:100078698-100078699	R	11.8468	3.16357	4.10269	5.3919	11.7703	4.78599	4.29756
C10RC39970	chr10:12818800-12818800	R	3.94892	1.58179	4.10269	0.770272	5.88516	9.57199	8.59513
C4F939140F	chr4:154735631-154735666	F	3.94892	1.58179	4.10269	0.770272	5.88516	9.57199	8.59513
C7R3EDFD70	chr7:65928560-65928562	R	3.94892	1.58179	10.667	0.770272	5.88516	4.78599	4.29756
C3R7B86134	chr3:129524020-129524069	R	3.94892	1.58179	30.3599	0.770272	5.88516	4.78599	4.29756
C5R564F0B1	chr5:90501297-90501314	R	3.94892	1.58179	30.3599	0.770272	5.88516	4.78599	4.29756
C8F53B7835	chr8:87783477-87783489	F	3.94892	1.58179	30.3599	0.770272	5.88516	4.78599	4.29756
C8F6BA7E07	chr8:112885255-112885331	F	3.94892	1.58179	30.3599	0.770272	5.88516	4.78599	4.29756
C9F2BE3351	chr9:46019409-46019413	F	3.94892	1.58179	30.3599	0.770272	5.88516	4.78599	4.29756
C6R53B58AA	chr6:87775402-87775477	R	3.94892	1.58179	30.3599	0.770272	5.88516	4.78599	4.29756
C17F2174305	chr17:35078917-35078966	F	3.94892	1.58179	30.3599	0.770272	5.88516	4.78599	4.29756
C10R177717A	chr10:24605050-24605196	R	3.94892	1.58179	30.3599	0.770272	5.88516	4.78599	4.29756
C13F43FFEA	chr13:4456426-4456455	F	3.94892	1.58179	30.3599	0.770272	5.88516	4.78599	4.29756
CXR9B055B1	chrX:162551217-162551240	R	3.94892	1.58179	2.46161	17.7163	5.88516	4.78599	4.29756
C4R52730D7	chr4:86454487-86454517	R	7.89783	1.58179	2.46161	17.7163	5.88516	9.57199	12.8927
C1R802AA42	chr1:134392386-134392405	R	7.89783	1.58179	2.46161	17.7163	5.88516	9.57199	12.8927
C3F6EA0404	chr3:115999748-115999783	F	7.89783	1.58179	2.46161	17.7163	5.88516	9.57199	12.8927
C4F78CE8F0	chr4:126675184-126675211	F	7.89783	1.58179	2.46161	17.7163	5.88516	9.57199	17.1903
C9R3203412	chr9:52442130-52442140	R	7.89783	1.58179	2.46161	17.7163	5.88516	9.57199	17.1903
C4F15BFB2D	chr4:22805293-22805293	F	7.89783	12.6543	2.46161	17.7163	5.88516	9.57199	17.1903
C5R851CFE8	chr5:139579368-139579405	R	7.89783	1.58179	2.46161	1.54054	5.88516	9.57199	17.1903
C2F1C55B69	chr2:29711209-29711247	F	3.94892	1.58179	2.46161	1.54054	5.88516	4.78599	12.8927
C1R5656C03	chr1:90532867-90532869	R	11.8468	1.58179	2.46161	3.08109	5.88516	9.57199	4.29756
C17F41F6815	chr17:69167125-69167165	F	15.7957	1.58179	2.46161	3.08109	5.88516	9.57199	4.29756
C7F2AF2293	chr7:45032083-45032099	F	7.89783	1.58179	2.46161	3.08109	5.88516	9.57199	8.59513
C18F235C65E	chr18:37078622-37078631	F	7.89783	1.58179	2.46161	3.08109	5.88516	9.57199	12.8927
C9F1509378	chr9:22057848-22057850	F	7.89783	3.16357	4.10269	12.3243	5.88516	9.57199	12.8927
C7R1C61A7D	chr7:29760125-29760156	R	7.89783	3.16357	4.10269	6.93245	5.88516	4.78599	4.29756
C16R1CE7763	chr16:30308195-30308206	R	3.94892	7.90893	2.46161	0.770272	5.88516	9.57199	4.29756
C6F80A32CE	chr6:134886094-134886134	F	7.89783	4.74536	1.64108	4.62163	5.88516	9.57199	4.29756
C11R65A8966	chr11:106596710-106596749	R	15.7957	4.74536	4.92323	5.3919	5.88516	9.57199	4.29756
C12F4B5162F	chr12:78976559-78976559	F	15.7957	12.6543	2.46161	4.62163	5.88516	4.78599	4.29756
C13R37B21BA	chr13:58401210-58401220	R	15.7957	1.58179	0.820538	1.54054	5.88516	4.78599	4.29756
C8F46461E3	chr8:73687523-73687529	F	19.7446	1.58179	0.820538	1.54054	5.88516	4.78599	4.29756
C11R44BE55D	chr11:72082781-72082801	R	19.7446	1.58179	0.820538	1.54054	5.88516	4.78599	4.29756
C14R5345F00	chr14:87318272-87318297	R	3.94892	1.58179	0.820538	1.54054	5.88516	4.78599	12.8927
C16R401759	chr16:4200281-4200285	R	15.7957	1.58179	2.46161	3.08109	5.88516	4.78599	4.29756
C11R82AF19	chr11:8564505-8564547	R	15.7957	1.58179	0.820538	6.93245	17.6555	4.78599	4.29756
C2F8BC2264	chr2:146547300-146547362	F	15.7957	3.16357	4.92323	6.16217	5.88516	9.57199	4.29756
C4R27B9505	chr4:41653509-41653592	R	15.7957	20.5632	1.64108	4.62163	5.88516	9.57199	4.29756
C6R8A7B091	chr6:145207441-145207460	R	15.7957	20.5632	1.64108	0.770272	5.88516	9.57199	4.29756
C7RE609AC	chr7:15075756-15075785	R	11.8468	20.5632	1.64108	3.08109	5.88516	9.57199	4.29756
C18F7813AB	chr18:7869355-7869402	F	11.8468	1.58179	0.820538	1.54054	11.7703	9.57199	4.29756
C11R59D83EF	chr11:94209007-94209041	R	11.8468	1.58179	15.5902	3.08109	11.7703	9.57199	4.29756
C10R39F68B9	chr10:60778681-60778728	R	7.89783	1.58179	3.28215	10.0135	11.7703	4.78599	4.29756
C6F6ED86B0	chr6:116229808-116229872	F	7.89783	4.74536	14.7697	2.31082	11.7703	4.78599	4.29756
C6F3FBAF88	chr6:66826120-66826186	F	7.89783	3.16357	7.38484	7.70272	11.7703	4.78599	4.29756
C10F7434E99	chr10:121851545-121851632	F	7.89783	4.74536	18.0518	6.93245	11.7703	4.78599	4.29756
C14R408E0E1	chr14:67690721-67690731	R	7.89783	1.58179	6.5643	9.24326	5.88516	4.78599	4.29756
C10FD060EA	chr10:13656298-13656320	F	11.8468	1.58179	0.820538	2.31082	5.88516	9.57199	4.29756
C13F468E182	chr13:73982338-73982396	F	11.8468	1.58179	0.820538	10.0135	5.88516	9.57199	8.59513
C19F139B8D4	chr19:20560084-20560122	F	11.8468	1.58179	0.820538	10.0135	5.88516	9.57199	8.59513
C13R23081B6	chr13:36733366-36733404	R	3.94892	1.58179	2.46161	10.0135	5.88516	9.57199	12.8927
C13R2309237	chr13:36737591-36737718	R	3.94892	1.58179	13.1286	10.0135	5.88516	4.78599	8.59513
C1F97DF1B4	chr1:159248820-159248854	F	3.94892	1.58179	8.20538	1.54054	5.88516	19.144	8.59513
C10R2A1A1EE	chr10:44147182-44147194	R	3.94892	1.58179	8.20538	6.93245	23.5406	19.144	8.59513
C11F389BA4E	chr11:59357774-59357780	F	3.94892	1.58179	8.20538	6.93245	23.5406	19.144	8.59513
C4F2964D0D	chr4:43404557-43404609	F	3.94892	1.58179	0.820538	5.3919	23.5406	19.144	8.59513
C5F4E4AAEF	chr5:82094831-82094846	F	7.89783	4.74536	1.64108	1.54054	11.7703	19.144	8.59513
C17R1A156C4	chr17:27350724-27350779	R	15.7957	4.74536	0.820538	1.54054	11.7703	9.57199	4.29756
C9R36D010E	chr9:57475342-57475345	R	15.7957	4.74536	24.6161	1.54054	5.88516	9.57199	4.29756
C16R196F68B	chr16:26670731-26670736	R	15.7957	4.74536	24.6161	1.54054	5.88516	9.57199	4.29756
C5F8B9A27F	chr5:146383487-146383488	F	15.7957	4.74536	24.6161	1.54054	5.88516	9.57199	4.29756
C13R5FDD7A5	chr13:100521893-100521899	R	11.8468	4.74536	24.6161	1.54054	5.88516	14.358	4.29756
C8F4645290	chr8:73683600-73683617	F	11.8468	4.74536	24.6161	1.54054	5.88516	14.358	4.29756
C9R14C2266	chr9:21766758-21766758	R	11.8468	4.74536	24.6161	1.54054	5.88516	14.358	4.29756
C11R70D459B	chr11:118310299-118310320	R	11.8468	4.74536	0.820538	2.31082	5.88516	14.358	4.29756
C17F25A0B4B	chr17:39455563-39455578	F	11.8468	23.7268	1.64108	1.54054	5.88516	14.358	4.29756
C19F2AFB0CD	chr19:45068493-45068530	F	19.7446	3.16357	0.820538	4.62163	5.88516	14.358	4.29756
C17F1BDDCDF	chr17:29220063-29220099	F	19.7446	3.16357	0.820538	6.16217	23.5406	14.358	4.29756
C15R48CF5BD	chr15:76346813-76346846	R	3.94892	3.16357	0.820538	6.16217	23.5406	14.358	12.8927
C12F1CB9AE7	chr12:30120679-30120720	F	3.94892	3.16357	0.820538	6.16217	23.5406	14.358	4.29756
C11R6726314	chr11:108159764-108159811	R	3.94892	3.16357	0.820538	1.54054	23.5406	9.57199	4.29756
C15R4EE528D	chr15:82727565-82727582	R	3.94892	3.16357	2.46161	3.08109	23.5406	9.57199	8.59513
C17R2BE331F	chr17:46019359-46019404	R	3.94892	1.58179	1.64108	1.54054	11.7703	9.57199	4.29756
C1R6C6CEFA	chr1:113692410-113692465	R	3.94892	6.32714	1.64108	1.54054	11.7703	9.57199	4.29756
C2R37AD776	chr2:58382198-58382259	R	7.89783	1.58179	0.820538	2.31082	11.7703	9.57199	12.8927
C6F3DF6669	chr6:64972393-64972449	F	3.94892	11.0725	1.64108	1.54054	5.88516	9.57199	4.29756
C2R1EC72E0	chr2:32273120-32273121	R	7.89783	4.74536	4.92323	2.31082	5.88516	4.78599	4.29756
C6R4FA232D	chr6:83501869-83501909	R	3.94892	15.8179	4.92323	10.7838	5.88516	4.78599	4.29756
C2R4C87EEE	chr2:80248558-80248607	R	3.94892	15.8179	4.92323	10.7838	5.88516	14.358	4.29756
C4F93400A5	chr4:154402981-154402998	F	7.89783	3.16357	4.92323	5.3919	5.88516	4.78599	8.59513
C1F24DA98C	chr1:38644108-38644111	F	7.89783	18.9814	4.92323	0.770272	5.88516	4.78599	8.59513
C11R72DE980	chr11:120449408-120449457	R	11.8468	3.16357	4.92323	1.54054	5.88516	4.78599	4.29756
C2R3BD71D0	chr2:62747088-62747089	R	11.8468	23.7268	4.92323	5.3919	5.88516	4.78599	4.29756
C16F2952ABB	chr16:43330235-43330235	F	11.8468	9.49071	2.46161	9.24326	5.88516	4.78599	4.29756
C19F3A1F265	chr19:60944997-60945057	F	7.89783	7.90893	2.46161	6.16217	5.88516	4.78599	8.59513
C12F67BE1D4	chr12:108782036-108782066	F	7.89783	7.90893	2.46161	6.16217	5.88516	4.78599	25.7854
C11F64D8B0B	chr11:105745163-105745181	F	7.89783	7.90893	2.46161	6.16217	5.88516	4.78599	25.7854
C16F318B53C	chr16:51950908-51950954	F	3.94892	7.90893	1.64108	3.85136	11.7703	4.78599	25.7854
C9F1A43BC5	chr9:27540421-27540474	F	3.94892	1.58179	1.64108	3.85136	11.7703	9.57199	4.29756
C16F2C136B2	chr16:46216882-46216889	F	3.94892	1.58179	1.64108	0.770272	11.7703	23.93	4.29756
C18F238AF4C	chr18:37269324-37269397	F	3.94892	1.58179	1.64108	16.1757	11.7703	23.93	4.29756
C10R4C6790F	chr10:80115983-80116037	R	3.94892	1.58179	1.64108	0.770272	17.6555	4.78599	4.29756
C8F19F171C	chr8:27203356-27203358	F	3.94892	1.58179	9.02592	7.70272	17.6555	9.57199	4.29756
C7R6971615	chr7:110564885-110564885	R	3.94892	1.58179	9.02592	7.70272	17.6555	9.57199	4.29756
C4F5EE04AE	chr4:99484846-99484887	F	3.94892	1.58179	14.7697	2.31082	17.6555	9.57199	4.29756
C13F62F35AC	chr13:103757228-103757229	F	3.94892	9.49071	1.64108	7.70272	11.7703	9.57199	4.29756
C2R910B08E	chr2:152088718-152088792	R	3.94892	14.2361	1.64108	3.08109	11.7703	9.57199	4.29756
C15F39D7C45	chr15:60652613-60652684	F	3.94892	14.2361	1.64108	22.3379	11.7703	9.57199	4.29756
C7F256818A	chr7:39223690-39223745	F	3.94892	14.2361	0.820538	2.31082	11.7703	9.57199	17.1903
C11R4234A15	chr11:69421589-69421627	R	7.89783	14.2361	0.820538	2.31082	11.7703	4.78599	12.8927
C6F1C1F40B	chr6:29488139-29488142	F	7.89783	14.2361	0.820538	2.31082	23.5406	4.78599	12.8927
CXF2010A82	chrX:33622658-33622716	F	3.94892	1.58179	0.820538	2.31082	23.5406	4.78599	17.1903
C9R1BCF742	chr9:29161282-29161335	R	11.8468	1.58179	0.820538	2.31082	23.5406	4.78599	12.8927
C8F35A331	chr8:3515185-3515207	F	15.7957	1.58179	1.64108	4.62163	23.5406	4.78599	8.59513
C2R9E29EFD	chr2:165846781-165846810	R	3.94892	3.16357	0.820538	0.770272	17.6555	4.78599	4.29756
C7R119CED3	chr7:18468563-18468567	R	3.94892	3.16357	0.820538	2.31082	5.88516	9.57199	12.8927
C6R389B2BE	chr6:59355838-59355905	R	3.94892	3.16357	3.28215	13.0946	5.88516	9.57199	4.29756
