macro.area	region
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
South	Apulia.south
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.inland
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Sardinia	Sardinia.coast
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Umbria
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.east
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
Centre.North	Liguria.west
