GeneID	pat1	pat2	pat3	pat4	pat5	pat6	pat7	pat8	pat9
RB1	-2.530609302	-1.895314608	-1.587052301	1.959884788	8.093001683	-4.117638837	-1.823933763	-1.125490025	-1.886015879
KCNN3	-6.191634696	3.507838584	-0.604964592	-0.183000509	0.118407964	-1.60264918	-0.96748346	-1.555172258	-1.644069946
VEGFA	9.169348938	-2.367999396	4.083885933	-5.330998462	-0.143643609	2.988030278	2.517808505	5.092644077	5.588585734
PPARG	-1.627457377	-2.80146274	-1.238752935	3.386618053	3.581135795	-0.878324302	-2.58270605	-0.983429746	-0.314441606
ERAP1	2.986834442	3.528525081	0.989643913	-1.015373136	-4.464876702	1.334735647	0.531388007	1.070101621	1.705021213
ARNT	1.391624128	6.361505508	-3.27014868	0.73878353	-2.064562629	-2.973828615	-3.579844893	-4.063210477	-2.109938844
FGF1	3.894480593	-3.846724773	1.235570171	-1.947363474	-1.552734871	1.965728862	1.365429941	0.098733244	1.896824452
HCN1	-2.698002312	5.263146124	0.823874409	-2.214804	0.32592539	1.176886762	0.263801482	-0.091087429	1.27879032
ATR	-2.531605363	2.80472981	0.524587006	5.182251306	-2.844525383	0.677537188	1.85571728	-1.128697383	0.089190424
BMP1	-0.537563542	-1.04192798	3.7847283	-4.494519025	-3.777422038	4.513511671	3.992358796	3.831624061	5.458255547
ABCG2	4.653645807	2.354723083	-3.469147499	-1.228739617	0.152884707	-2.372898313	-2.603533617	-3.164969455	-1.556955998
CYP2B6	0.899674971	-1.311666552	-10.00903551	-3.79667048	-1.381277774	-10.4004375	-9.917700761	-9.461777969	-8.128598103
TP53	1.721016188	3.411406638	-2.2604305	-7.054516734	5.270681273	-2.75475826	-2.039177122	-1.04055931	-1.739356867
AHR	-3.81079233	1.519649653	-3.924667685	5.650361552	-0.193467585	-3.92475299	-3.579875485	-3.071125662	-3.646334011
SUMO1	-5.371878389	5.05777283	0.537048041	-1.559667395	-3.544052679	-0.04826555	1.994903245	1.736991943	-2.540219509
CDKN1A	-4.249189187	-1.00669664	0.96721275	-0.581872692	4.816933066	-0.045802466	0.496194217	2.404098708	1.328685539
JAG1	3.607000059	1.220183458	3.093079075	-2.110391165	-3.966406872	2.341744577	3.019442147	2.905009565	1.304967056
CYP3A5	-2.627320555	2.19448991	-7.066408034	0.179030983	-5.460125611	-6.410082907	-7.317823739	-6.646434564	-5.737926994
TOP1	0.038606891	-4.149407812	-4.024125775	2.289963464	3.541642033	-4.291279728	-3.764775757	-3.265990413	-2.769836482
